cluster,seq_num,fm_num,gn_num,fm_rate,gn_rate,major_family,major_genus,cutoff,positive,negative,Segment
cluster1,70,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,1196.37,1510.2,1161.5,M
cluster2,70,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,2876.67,3465.0,2811.3,L
cluster3,35,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,2779.65,3636.0,2684.5,L
cluster4,35,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,171.76,328.9,154.3,S
cluster5,31,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,189.43,272.5,180.2,S
cluster6,31,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,1052.81,2338.1,910.0,M
cluster7,29,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,1167.8,1682.6,1110.6,M
cluster8,25,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,2822.2,3554.8,2740.8,L
cluster9,24,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,175.27,381.1,152.4,S
cluster10,24,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,173.85,435.3,144.8,S
cluster11,15,1,1,{'Peribunyaviridae': 1.0},{'Orthobunyavirus': 1.0},Peribunyaviridae,Orthobunyavirus,158.04,378.9,133.5,S
cluster12,42,1,1,{'Nairoviridae': 1.0},{'Orthonairovirus': 1.0},Nairoviridae,Orthonairovirus,181.74,413.4,156.0,S
cluster13,42,1,1,{'Nairoviridae': 1.0},{'Orthonairovirus': 1.0},Nairoviridae,Orthonairovirus,2222.89,3853.6,2041.7,L
cluster14,41,1,1,{'Nairoviridae': 1.0},{'Orthonairovirus': 1.0},Nairoviridae,Orthonairovirus,632.23,1374.1,549.8,M
cluster15,2,1,1,{'Nairoviridae': 1.0},{'Orthonairovirus': 1.0},Nairoviridae,Orthonairovirus,19.43,194.3,0.0,M
cluster16,42,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,727.47,714.6,728.9,complete
cluster17,38,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,422.05,588.1,403.6,complete
cluster18,36,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,284.74,278.8,285.4,complete
cluster19,19,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,256.9,260.5,256.5,complete
cluster20,18,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,197.06,220.1,194.5,complete
cluster21,6,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,33.11,166.4,18.3,complete
cluster22,6,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,338.49,660.6,302.7,complete
cluster23,4,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,153.41,258.8,141.7,complete
cluster24,3,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,66.44,351.2,34.8,complete
cluster25,2,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,52.13,521.3,0.0,complete
cluster26,2,1,1,{'Solemoviridae': 1.0},{'Polerovirus': 1.0},Solemoviridae,Polerovirus,25.76,257.6,0.0,complete
cluster27,29,1,1,{'Hantaviridae': 1.0},{'Orthohantavirus': 1.0},Hantaviridae,Orthohantavirus,3875.64,3974.1,3864.7,L
cluster28,28,1,1,{'Hantaviridae': 1.0},{'Orthohantavirus': 1.0},Hantaviridae,Orthohantavirus,698.57,711.8,697.1,S
cluster29,28,1,1,{'Hantaviridae': 1.0},{'Orthohantavirus': 1.0},Hantaviridae,Orthohantavirus,1636.99,1747.6,1624.7,M
cluster30,2,1,1,{'Hantaviridae': 1.0},{'Orthohantavirus': 1.0},Hantaviridae,Orthohantavirus,12.08,120.8,0.0,L
cluster31,9,1,1,{'Secoviridae': 1.0},{'Fabavirus': 1.0},Secoviridae,Fabavirus,1670.97,2622.0,1565.3,1
