Accession,Length,Family,Genus,Segment,GenBank_Title,Unnamed: 6
NC_077898,6867,Peribunyaviridae,Orthobunyavirus,L,"Yaba-7 virus strain Yaba 7 segment L, complete sequence",
NC_077899,4300,Peribunyaviridae,Orthobunyavirus,M,"Yaba-7 virus strain Yaba 7 segment M, complete sequence",
NC_077900,851,Peribunyaviridae,Orthobunyavirus,S,"Yaba-7 virus strain Yaba 7 segment S, complete sequence",
NC_077913,4374,Peribunyaviridae,Orthobunyavirus,M,"Matruh virus strain An 1047-61 polyprotein (QK546_sMgp1) gene, complete cds",
NC_077914,897,Peribunyaviridae,Orthobunyavirus,S,"Matruh virus strain An 1047-61 nucleocapsid protein (QK546_sSgp1) gene, complete cds",
NC_077915,6949,Peribunyaviridae,Orthobunyavirus,L,"Matruh virus strain An 1047-61 RNA-dependent RNA polymerase (QK546_sLgp1) gene, complete cds",
NC_077916,6871,Peribunyaviridae,Orthobunyavirus,L,"Mahogany hammock virus strain FE4-2s segment L RNA-dependent RNA polymerase (QK547_sLgp1) gene, complete cds",
NC_077917,871,Peribunyaviridae,Orthobunyavirus,S,"Mahogany hammock virus strain FE4-2s segment S nucleocapsid protein (QK547_sSgp1) gene, complete cds",
NC_077918,4422,Peribunyaviridae,Orthobunyavirus,M,"Mahogany hammock virus strain FE4-2s segment M polyprotein (QK547_sMgp1) gene, complete cds",
NC_077925,1003,Peribunyaviridae,Orthobunyavirus,S,"Ananindeua virus isolate BeAn20525 segment S, complete sequence",
NC_077926,4815,Peribunyaviridae,Orthobunyavirus,M,"Ananindeua virus isolate BeAn20525 segment M, complete sequence",
NC_077927,6935,Peribunyaviridae,Orthobunyavirus,L,"Ananindeua virus isolate BeAn20525 segment L, complete sequence",
NC_077928,6979,Peribunyaviridae,Orthobunyavirus,L,"Mirim virus strain BEAN7722 RNA-dependent RNA polymerase (QK551_s1gp1) gene, complete cds",
NC_077929,4534,Peribunyaviridae,Orthobunyavirus,M,"Mirim virus strain BEAN7722 polyprotein (QK551_s2gp1) gene, complete cds",
NC_077930,1094,Peribunyaviridae,Orthobunyavirus,S,"Mirim virus strain BEAN7722 structural nucleocapsid protein N (QK551_s3gp1) gene, complete cds",
NC_077934,6967,Peribunyaviridae,Orthobunyavirus,L,"Infirmatus virus segment L polyprotein (QK553_sLgp1) gene, complete cds",
NC_077935,968,Peribunyaviridae,Orthobunyavirus,S,"Infirmatus virus segment S nucleocapsid protein (QK553_sSgp1) gene, complete cds",
NC_077936,4495,Peribunyaviridae,Orthobunyavirus,M,"Infirmatus virus segment M polyprotein (QK553_sMgp1) gene, complete cds",
NC_077940,4777,Peribunyaviridae,Orthobunyavirus,M,"Abras virus isolate 75V1183 segment M glycoprotein precursor (QK555_sMgp1) gene, complete cds",
NC_077941,6901,Peribunyaviridae,Orthobunyavirus,L,"Abras virus isolate 75V1183 segment L RNA-dependent RNA polymerase (QK555_sLgp1) gene, complete cds",
NC_077942,1073,Peribunyaviridae,Orthobunyavirus,S,"Abras virus isolate 75V1183 segment S NSs (QK555_sSgp1) and nucleocapsid (QK555_sSgp2) genes, complete cds",
NC_077946,6824,Peribunyaviridae,Orthobunyavirus,L,"Shark River virus isolate 64U80 segment L RNA-dependent RNA polymerase (QK557_sLgp1) gene, complete cds",
NC_077947,4661,Peribunyaviridae,Orthobunyavirus,M,"Shark River virus isolate 64U80 segment M glycoprotein precursor (QK557_sMgp1) gene, complete cds",
NC_077948,1019,Peribunyaviridae,Orthobunyavirus,S,"Shark River virus isolate 64U80 segment S NSs (QK557_sSgp1) and nucleocapsid (QK557_sSgp2) genes, complete cds",
NC_077970,4427,Peribunyaviridae,Orthobunyavirus,M,"Shokwe virus strain SAAr 4042 segment M, complete sequence",
NC_077971,943,Peribunyaviridae,Orthobunyavirus,S,"Shokwe virus strain SAAr 4042 segment S, complete sequence",
NC_077972,6858,Peribunyaviridae,Orthobunyavirus,L,"Shokwe virus strain SAAr 4042 segment L, complete sequence",
NC_077973,4534,Peribunyaviridae,Orthobunyavirus,M,"Apeu virus isolate BeAn848 segment M, complete sequence",
NC_077974,6935,Peribunyaviridae,Orthobunyavirus,L,"Apeu virus isolate BeAn848 segment L, complete sequence",
NC_077975,1082,Peribunyaviridae,Orthobunyavirus,S,"Apeu virus isolate BeAn848 segment S, complete sequence",
NC_077979,6960,Peribunyaviridae,Orthobunyavirus,L,"Nepuyo virus isolate BeAn10709 segment L, complete sequence",
NC_077980,1003,Peribunyaviridae,Orthobunyavirus,S,"Nepuyo virus isolate BeAn10709 segment S, complete sequence",
NC_077981,4556,Peribunyaviridae,Orthobunyavirus,M,"Nepuyo virus isolate BeAn10709 segment M, complete sequence",
NC_077982,1034,Peribunyaviridae,Orthobunyavirus,S,"Bruconha virus isolate 77V74814 nonstructural protein NSs and nucleoprotein genes, complete cds",
NC_077983,7006,Peribunyaviridae,Orthobunyavirus,L,"Bruconha virus isolate 77V74814 RNA-dependent RNA polymerase gene, complete cds",
NC_077984,4685,Peribunyaviridae,Orthobunyavirus,M,"Bruconha virus isolate 77V74814 polyprotein gene, complete cds",
NC_077985,989,Peribunyaviridae,Orthobunyavirus,S,"Anopheles A virus isolate original segment S, complete sequence",
NC_077986,6881,Peribunyaviridae,Orthobunyavirus,L,"Anopheles A virus isolate original segment L, complete sequence",
NC_077987,4337,Peribunyaviridae,Orthobunyavirus,M,"Anopheles A virus isolate original segment M, complete sequence",
NC_078003,6862,Peribunyaviridae,Orthobunyavirus,L,"Northway virus strain 0234 segment L, complete sequence",
NC_078004,951,Peribunyaviridae,Orthobunyavirus,S,"Northway virus strain 0234 segment S, complete sequence",
NC_078005,4540,Peribunyaviridae,Orthobunyavirus,M,"Northway virus strain 0234 segment M, complete sequence",
NC_078143,1608,Nairoviridae,Orthonairovirus,S,"Gossas virus isolate DakAnD 401 segment S, complete sequence",
NC_078144,5941,Nairoviridae,Orthonairovirus,M,"Gossas virus isolate DakAnD 401 segment M, complete sequence",
NC_078145,12577,Nairoviridae,Orthonairovirus,L,"Gossas virus isolate DakAnD 401 segment L, complete sequence",
NC_078320,11943,Nairoviridae,Orthonairovirus,L,"Tamdy orthonairovirus isolate TT1 RNA-dependent RNA polymerase (QK671_sLgp1) gene, complete cds",
NC_078321,4077,Nairoviridae,Orthonairovirus,M,"Tamdy orthonairovirus isolate TT1 glycoprotein precursor (QK671_sMgp1) gene, complete cds",
NC_078322,1452,Nairoviridae,Orthonairovirus,S,"Tamdy orthonairovirus isolate TT1 nucleocapsid protein (QK671_sSgp1) gene, complete cds",
NC_055922,4453,Nairoviridae,Orthonairovirus,L,"Pacific coast tick nairovirus isolate Docc2011cons segment L, complete sequence",
NC_055940,1662,Nairoviridae,Orthonairovirus,S,"UNVERIFIED: Clo Mor virus isolate 52301-14 segment S, complete sequence",
NC_077669,2060,Hantaviridae,Orthohantavirus,S,"Sin Nombre virus (NM R11) RNA S segment encoding nucleocapsid protein (N protein), complete cds",
NC_077670,3696,Hantaviridae,Orthohantavirus,M,"Sin Nombre virus (NM R11) RNA M segment encoding surface glycoproteins (G1 and G2 proteins), complete cds",
NC_077671,6562,Hantaviridae,Orthohantavirus,L,"Sin Nombre virus (NM R11) RNA L segment encoding RNA polymerase (L protein), complete cds",
NC_077674,3372,Secoviridae,Fabavirus,2,"Gentian mosaic virus RNA2 gene for polyprotein, complete cds",
