,Accession,Organism_Name,SRA_Accession,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,Host,Isolation_Source,BioSample,GenBank_Title
0,NC_077898,Yaba-7 virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus akabaneense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6867,RefSeq,complete,,L,1.0,Nigeria,Nigeria,Mansonia africana,,,"Yaba-7 virus strain Yaba 7 segment L, complete sequence"
1,NC_077899,Yaba-7 virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus akabaneense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4300,RefSeq,complete,,M,1.0,Nigeria,Nigeria,Mansonia africana,,,"Yaba-7 virus strain Yaba 7 segment M, complete sequence"
2,NC_077900,Yaba-7 virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus akabaneense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),851,RefSeq,complete,,S,1.0,Nigeria,Nigeria,Mansonia africana,,,"Yaba-7 virus strain Yaba 7 segment S, complete sequence"
3,NC_077913,Matruh virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus matruhense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4374,RefSeq,complete,,M,1.0,Egypt,Egypt,Curruca curruca,,,"Matruh virus strain An 1047-61 polyprotein (QK546_sMgp1) gene, complete cds"
4,NC_077914,Matruh virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus matruhense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),897,RefSeq,complete,,S,1.0,Egypt,Egypt,Curruca curruca,,,"Matruh virus strain An 1047-61 nucleocapsid protein (QK546_sSgp1) gene, complete cds"
5,NC_077915,Matruh virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus matruhense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6949,RefSeq,complete,,L,1.0,Egypt,Egypt,Curruca curruca,,,"Matruh virus strain An 1047-61 RNA-dependent RNA polymerase (QK546_sLgp1) gene, complete cds"
6,NC_077916,Mahogany hammock virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus mahoganyense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6871,RefSeq,complete,,L,1.0,USA,USA,Culex,,,"Mahogany hammock virus strain FE4-2s segment L RNA-dependent RNA polymerase (QK547_sLgp1) gene, complete cds"
7,NC_077917,Mahogany hammock virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus mahoganyense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),871,RefSeq,complete,,S,1.0,USA,USA,Culex,,,"Mahogany hammock virus strain FE4-2s segment S nucleocapsid protein (QK547_sSgp1) gene, complete cds"
8,NC_077918,Mahogany hammock virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus mahoganyense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4422,RefSeq,complete,,M,1.0,USA,USA,Culex,,,"Mahogany hammock virus strain FE4-2s segment M polyprotein (QK547_sMgp1) gene, complete cds"
9,NC_077925,Ananindeua virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn20525,Orthobunyavirus ananindeuaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1003,RefSeq,complete,,S,,Brazil,Brazil,Mus,,,"Ananindeua virus isolate BeAn20525 segment S, complete sequence"
10,NC_077926,Ananindeua virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn20525,Orthobunyavirus ananindeuaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4815,RefSeq,complete,,M,,Brazil,Brazil,Mus,,,"Ananindeua virus isolate BeAn20525 segment M, complete sequence"
11,NC_077927,Ananindeua virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn20525,Orthobunyavirus ananindeuaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6935,RefSeq,complete,,L,,Brazil,Brazil,Mus,,,"Ananindeua virus isolate BeAn20525 segment L, complete sequence"
12,NC_077928,Mirim virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bertiogaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6979,RefSeq,complete,,,,Brazil,Brazil,Sapajus apella,,,"Mirim virus strain BEAN7722 RNA-dependent RNA polymerase (QK551_s1gp1) gene, complete cds"
13,NC_077929,Mirim virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bertiogaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4534,RefSeq,complete,,,,Brazil,Brazil,Sapajus apella,,,"Mirim virus strain BEAN7722 polyprotein (QK551_s2gp1) gene, complete cds"
14,NC_077930,Mirim virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bertiogaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1094,RefSeq,complete,,,,Brazil,Brazil,Sapajus apella,,,"Mirim virus strain BEAN7722 structural nucleocapsid protein N (QK551_s3gp1) gene, complete cds"
15,NC_077934,Infirmatus virus,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,Tampa 08,Orthobunyavirus achiotei,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6967,RefSeq,complete,,L,1.0,USA,USA,Ochlerotatus infirmatus,,,"Infirmatus virus segment L polyprotein (QK553_sLgp1) gene, complete cds"
